;;;;;;;;;;;;;;
;Squad;MP;W;D;L;GF;GA;GD;Pts;xG;xGA;xGD;xGD/90;Notes
;;;;;;;;;;;;;;
1;eng  Liverpool;8;7;0;1;17;5;12;21;18.9;7.1;+11.8;+1.48;→ Round of 16
2;es  Barcelona;8;6;1;1;28;13;15;19;20.4;10.7;+9.8;+1.22;→ Round of 16
3;eng  Arsenal;8;6;1;1;16;3;13;19;15.8;5.8;+10.0;+1.25;→ Round of 16
4;it  Inter;8;6;1;1;11;1;10;19;14.3;7.3;+7.0;+0.88;→ Round of 16
5;es  Atlético Madrid;8;6;0;2;20;12;8;18;13.0;11.2;+1.8;+0.22;→ Round of 16
6;de  Leverkusen;8;5;1;2;15;7;8;16;13.3;8.0;+5.3;+0.66;→ Round of 16
7;fr  Lille;8;5;1;2;17;10;7;16;9.5;13.5;-4.0;-0.50;→ Round of 16
8;eng  Aston Villa;8;5;1;2;13;6;7;16;12.3;9.3;+3.0;+0.38;→ Round of 16
9;it  Atalanta;8;4;3;1;20;6;14;15;20.4;8.4;+12.0;+1.50;→ Knockout phase play-offs
10;de  Dortmund;8;5;0;3;22;12;10;15;15.8;11.9;+3.9;+0.49;→ Knockout phase play-offs
11;es  Real Madrid;8;5;0;3;20;12;8;15;19.4;14.9;+4.4;+0.55;→ Knockout phase play-offs
12;de  Bayern Munich;8;5;0;3;20;12;8;15;21.8;8.0;+13.9;+1.73;→ Knockout phase play-offs
13;it  Milan;8;5;0;3;14;11;3;15;11.5;12.4;-0.8;-0.11;→ Knockout phase play-offs
14;nl  PSV Eindhoven;8;4;2;2;16;12;4;14;12.2;14.3;-2.1;-0.27;→ Knockout phase play-offs
15;fr  Paris S-G;8;4;1;3;14;9;5;13;16.2;6.9;+9.3;+1.16;→ Knockout phase play-offs
16;pt  Benfica;8;4;1;3;16;12;4;13;17.1;10.1;+7.0;+0.88;→ Knockout phase play-offs
17;fr  Monaco;8;4;1;3;13;13;0;13;11.4;12.9;-1.5;-0.19;→ Knockout phase play-offs
18;fr  Brest;8;4;1;3;10;11;-1;13;9.6;12.5;-3.0;-0.37;→ Knockout phase play-offs
19;nl  Feyenoord;8;4;1;3;18;21;-3;13;10.0;13.8;-3.8;-0.48;→ Knockout phase play-offs
20;it  Juventus;8;3;3;2;9;7;2;12;8.6;13.0;-4.4;-0.54;→ Knockout phase play-offs
21;sct  Celtic;8;3;3;2;13;14;-1;12;12.0;13.3;-1.3;-0.16;→ Knockout phase play-offs
22;eng  Manchester City;8;3;2;3;18;14;4;11;18.2;11.1;+7.1;+0.89;→ Knockout phase play-offs
23;pt  Sporting CP;8;3;2;3;13;12;1;11;11.6;14.2;-2.6;-0.33;→ Knockout phase play-offs
24;be  Club Brugge;8;3;2;3;7;11;-4;11;7.8;8.5;-0.7;-0.09;→ Knockout phase play-offs
25;hr  Dinamo Zagreb;8;3;2;3;12;19;-7;11;7.0;16.4;-9.3;-1.17;
26;de  Stuttgart;8;3;1;4;13;17;-4;10;14.1;11.1;+3.0;+0.38;
27;ua  Shakhtar;8;2;1;5;8;16;-8;7;8.3;15.5;-7.2;-0.90;
28;it  Bologna;8;1;3;4;4;9;-5;6;8.1;9.9;-1.8;-0.22;
29;rs  Red Star;8;2;0;6;13;22;-9;6;9.3;14.9;-5.5;-0.69;
30;at  Sturm Graz;8;2;0;6;5;14;-9;6;6.2;16.2;-10.0;-1.25;
31;cz  Sparta Prague;8;1;1;6;7;21;-14;4;6.3;13.3;-7.0;-0.88;
32;de  RB Leipzig;8;1;0;7;8;15;-7;3;12.3;12.7;-0.4;-0.05;
33;es  Girona;8;1;0;7;5;13;-8;3;9.6;12.6;-3.0;-0.38;
34;at  RB Salzburg;8;1;0;7;5;27;-22;3;6.6;19.4;-12.7;-1.59;
35;sk  Slovan Bratislava;8;0;0;8;7;27;-20;0;7.0;21.6;-14.7;-1.83;
36;ch  Young Boys;8;0;0;8;3;24;-21;0;5.6;19.1;-13.4;-1.68;
